gallery_name,gall_id,gall_type,total_pages,checked_at,rank,diff_from_prev,ratio_from_prev
201505~201701 주식,stock_new1,G,84044,2026-04-11 22:47:59.212573,97,56217.0,3.020232148632623
해외주식,tenbagger,M,165053,2026-04-11 22:46:22.594050,103,30280.0,1.2246740816038821
비트코인,bitcoins_new1,G,122432,2026-04-11 22:47:43.292924,101,24777.0,1.2537197276125134
다우,dow100,M,22923,2026-04-11 22:46:26.076463,93,13173.0,2.3510769230769233
"정치, 사회 갤러리",stock_new2,G,134773,2026-04-17 19:37:45.082968,102,12341.0,1.1007988107684266
증권,securities,M,9750,2026-04-11 22:46:55.319889,92,7115.0,3.700189753320683
201305~201505 주식,stock_new,G,90922,2026-04-17 19:43:21.260442,98,6878.0,1.0818380848127171
코스피,kospi,M,96883,2026-04-11 22:46:20.556440,99,5961.0,1.0655616902399858
해외선물,of,M,27827,2026-04-11 22:46:28.407447,96,4716.0,1.2040586733590066
차트분석,chartanalysis,M,97655,2026-04-11 22:46:27.145083,100,772.0,1.0079683742245802
